ISIN Kodu;İlgili Menkul Kıymet;İhraçcı Kurum;İhraç Türü;Getiri Türü;MK Türü;Yıllık Kupon Sayısı;Para Birimi;Grup Kodu;İlk İhraç Tarihi;İtfa Tarihi;Vadeye Kalan Gün;Toplam İhraç Tutarı Nom.;Son İhraç Tarihi;Son İhraç Fiyatı;Son İhraç Getirisi % (yıllık basit);Gösterge Fiyat;Sonraki Kupon Tarihi;Sonraki Kupon Oranı %;Ek Getiri (%) (*);Dolaşımdaki Tutar;Emir Giriş Yöntemi;İşlemiş Faiz/Kira;Temiz Fiyat;Kirli Fiyat;Takas Fiyatı;Getiri;Bileşik Getiri;Gün Sayım Konvansiyonu;Açıklamalar;Price Unit;Coupon Interest;Coupon Frequency;Calculate 364T;Odd First Period;Odd Last Period;Day Calculation Rule;Fixed Income Type;Index Value ID;Index at Dated Date;(Underlying Issuer);Country;Sector Code;Market Segment;Decimal in Price;Açıklama (Türkçe);Açıklama (İngilizce);Strip Kağıt (Tüm, Kupon, Anapara);Principal ISIN;Instrument Classification;Instrument Group;Calculation Rule;Premium Unit;Calculate Corresponding Yield/Price;Calculate Compound Yield;;;;;;;;;;
ISIN Code;Related Security;Issuer;Type of Issuance;Type of Yield;Type of Security;Number of Coupons p.a.;Currency;Group Code;First Issue Date;Maturity Date;Days to Maturity;Total Issue Amount Nom.;Last Issue date;Last Issue Price;Last Issue Yield % (simple p.a.);Reference Price (TRY);Next Coupon Date;Next Coupon Rate %;Spread (%) (*);Outstanding Value;Quotation Method;Accrued Int./Lease;Clean Price;Dirty Price;Settlement Price;Yield;Compound Yield;Day Count Convention;Remarks;;;;;;;;;;;;;;;;;;;;;;;;;;ŞİRKET KODU;;;;;;;;;
;;;;;;;;;;;;(1000 TRY/USD/EUR);;;;;;;;(1000 TRY);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRT180117K17;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;18.01.2017;167;;03.11.2010;;;5.051;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT190717K10;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;19.07.2017;349;;03.11.2010;;;4.823;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT170118K17;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;17.01.2018;531;;03.11.2010;;;4.611;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT180718K10;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;18.07.2018;713;;03.11.2010;;;4.397;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT160119K17;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;16.01.2019;895;;03.11.2010;;;4.187;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT170719K10;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;17.07.2019;1077;;03.11.2010;;;3.986;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT150120K15;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;15.01.2020;1259;;03.11.2010;;;3.794;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT150120T24;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT150120A17;TRT150120T24;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;27.01.2010;15.01.2020;1259;;03.11.2010;;;72.264;;;;;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giriş/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;N;N;N;ACT365;Type 1;;0;TRSRY;TR;;;;;;A;TRT150120T24;115D;;FT1-DISCOUNT;;Y;Y;TRSRY;;;;;;;;;
TRT120122T17;;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;2;TRY;115;25.01.2012;12.01.2022;1987;10585531.582;08.08.2012;109.421;8.11;99.595;20.07.2016;4.75;;10542660.1790929;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();9.5;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;;;115C;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT120122T25;TRT120122T17;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;12.01.2022;1987;;25.01.2012;;;99.595;;;;;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();9.5;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;T;TRT120122T25;115D;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT180117K33;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;18.01.2017;167;;25.01.2012;;;4.57;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT190717K36;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;19.07.2017;349;;25.01.2012;;;4.364;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT170118K25;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;17.01.2018;531;;25.01.2012;;;4.172;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT180718K28;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;18.07.2018;713;;25.01.2012;;;3.978;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT160119K25;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;16.01.2019;895;;25.01.2012;;;3.789;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT170719K28;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;17.07.2019;1077;;25.01.2012;;;3.606;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT150120K23;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;15.01.2020;1259;;25.01.2012;;;3.433;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT150720K19;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;15.07.2020;1441;;25.01.2012;;;3.268;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT130121K16;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;13.01.2021;1623;;25.01.2012;;;3.113;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT140721K19;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;14.07.2021;1805;;25.01.2012;;;2.966;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT120122K16;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;12.01.2022;1987;;25.01.2012;;;2.827;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT120122T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT120122A18;TRT120122T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;25.01.2012;12.01.2022;1987;;25.01.2012;;;59.509;;;;;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giriş/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;N;N;N;ACT365;Type 1;;0;TRSRY;TR;;;;;;A;TRT120122T25;115D;;FT1-DISCOUNT;;Y;Y;TRSRY;;;;;;;;;
TRT080317T18;;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;2;TRY;115;14.03.2012;08.03.2017;216;12879881.371;09.01.2013;111.881;6.51;103.561;07.09.2016;4.5;;13338533.9466213;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();9;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;;;115C;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT080317T26;TRT080317T18;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;14.03.2012;08.03.2017;216;;14.03.2012;;;103.561;;;;;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();9;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;T;TRT080317T26;115D;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT070916K13;TRT080317T26;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;14.03.2012;07.09.2016;34;;14.03.2012;;;4.48;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT080317T26;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT080317K17;TRT080317T26;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;14.03.2012;08.03.2017;216;;14.03.2012;;;4.267;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT080317T26;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT080317A19;TRT080317T26;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;14.03.2012;08.03.2017;216;;14.03.2012;;;94.814;;;;;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giriş/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;N;N;N;ACT365;Type 1;;0;TRSRY;TR;;;;;;A;TRT080317T26;115D;;FT1-DISCOUNT;;Y;Y;TRSRY;;;;;;;;;
TRT140922T17;;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;2;TRY;115;26.09.2012;14.09.2022;2232;10770964.391;20.02.2013;115.782;6.84;97.658;21.09.2016;4.25;;10518708.4049628;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();8.5;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;;;115C;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT140922T25;TRT140922T17;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;14.09.2022;2232;;26.09.2012;;;97.658;;;;;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();8.5;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;T;TRT140922T25;115D;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT210916K15;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;21.09.2016;48;;26.09.2012;;;4.221;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT220317K19;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;22.03.2017;230;;26.09.2012;;;4.016;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT200917K15;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;20.09.2017;412;;26.09.2012;;;3.845;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT210318K19;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;21.03.2018;594;;26.09.2012;;;3.672;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT190918K17;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;19.09.2018;776;;26.09.2012;;;3.5;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT200319K19;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;20.03.2019;958;;26.09.2012;;;3.332;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT180919K17;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;18.09.2019;1140;;26.09.2012;;;3.172;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT180320K10;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;18.03.2020;1322;;26.09.2012;;;3.019;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT160920K16;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;16.09.2020;1504;;26.09.2012;;;2.875;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT170321K10;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;17.03.2021;1686;;26.09.2012;;;2.739;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT150921K16;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;15.09.2021;1868;;26.09.2012;;;2.61;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT160322K10;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;16.03.2022;2050;;26.09.2012;;;2.488;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT140922K16;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;14.09.2022;2232;;26.09.2012;;;2.371;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140922T25;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT140922A18;TRT140922T25;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;26.09.2012;14.09.2022;2232;;26.09.2012;;;55.798;;;;;Basit Getiri/Simple Yield;-;-;Formül 1/Formula 1;Kirli Fiyat/Dirty Price;Giriş/Input;Formül 3/Formula 3;Act/365;;Yield;0;0;N;N;N;ACT365;Type 1;;0;TRSRY;TR;;;;;;A;TRT140922T25;115D;;FT1-DISCOUNT;;Y;Y;TRSRY;;;;;;;;;
TRT140218T10;;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;2;TRY;115;20.02.2013;14.02.2018;559;12818108.066;15.05.2013;103.328;5.84;98.959;17.08.2016;3.15;;12684671.5610329;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();6.3;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;;;115C;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT140218T28;TRT140218T10;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;20.02.2013;14.02.2018;559;;20.02.2013;;;98.959;;;;;Temiz Fiyat/Clean Price;Formül 5/Formula 5;Giriş/Input;Formül 6/Formula 6;Kirli Fiyat/Dirty Price;Formül 2/Formula 2;Formül 4/Formula 4;Act/Act ISMA;Son kupon döneminde getiri hesabında Formül 9, bileşik getiri hesabında Formül 3 kullanılmaktadır. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations.;Clean Price();6.3;2;Y;N;N;ACTACT ISMA;Type 2;;0;TRSRY;TR;;;;;;T;TRT140218T28;115D;;FT2-FIXDRATE;;Y;Y;TRSRY;;;;;;;;;
TRT170816K12;TRT140218T28;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;20.02.2013;17.08.2016;13;;20.02.2013;;;3.141;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140218T28;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
TRT150217K19;TRT140218T28;Hazine / Turkish Treasury;İhale / Auction;Sabit / Fixed;Devlet Tahvili / Government Bond;;TRY;115;20.02.2013;15.02.2017;195;;20.02.2013;;;3.001;;;;;Kirli Fiyat/Dirty Price;-;-;Giriş/Input;Kirli Fiyat/Dirty Price;-;-;-;;Dirty Price();0;0;N;N;N;;Type 3B;;0;TRSRY;TR;;;;;;K;TRT140218T28;115D;;FT3B-VARRATE;;N;N;TRSRY;;;;;;;;;
