_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,Güncelleme Tarihi / Updated as of,42437.0,_unnamed_7,USD/TRY=,2.9201,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17,_unnamed_18,_unnamed_19,_unnamed_20,_unnamed_21,_unnamed_22,_unnamed_23,_unnamed_24,_unnamed_25,_unnamed_26,_unnamed_27
Sayý,ISIN Kodu,Ýlgili Menkul Kýymet,Ýhraçcý Kurum,Ýhraç Türü,Getiri Türü,MK Türü,Yýllýk Kupon Sayýsý,Para Birimi,Grup Kodu,Ýlk Ýhraç Tarihi,Ýtfa Tarihi,Vadeye Kalan Gün,Toplam Ýhraç Tutarý Nom.,Son Ýhraç Tarihi,Son Ýhraç Fiyatý,Son Ýhraç Getirisi % (yýllýk basit),Gösterge Fiyat,Sonraki Kupon Tarihi,Sonraki Kupon Oraný %,Ek Getiri (%) (*),Dolaþýmdaki Tutar,Emir Giriþ Yöntemi,Ýþlemiþ Faiz/Kira,Temiz Fiyat,Kirli Fiyat,Takas Fiyatý,Getiri,Bileþik Getiri,Gün Sayým Konvansiyonu,Açýklamalar
No,ISIN Code,Related Security,Issuer,Type of Issuance,Type of Yield,Type of Security,Number of Coupons p.a.,Currency,Group Code,First Issue Date,Maturity Date,Days to Maturity,Total Issue Amount Nom.,Last Issue date,Last Issue Price,Last Issue Yield % (simple p.a.),Reference Price (TRY),Next Coupon Date,Next Coupon Rate %,Spread (%) (*),Outstanding Value,Quotation Method,Accrued Int./Lease,Clean Price,Dirty Price,Settlement Price,Yield,Compound Yield,Day Count Convention,Remarks
,,,,,,,,,,,,,(1000 TRY/USD/EUR),,,,,,,,(1000 TRY),,,,,,,,,
11.0,TRT040418K19,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43194.0,757.0,,40506.0,,,2.941,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
12.0,TRT031018K12,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43376.0,939.0,,40506.0,,,2.906,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
13.0,TRT030419K19,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43558.0,1121.0,,40506.0,,,2.871,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
14.0,TRT021019K12,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43740.0,1303.0,,40506.0,,,2.837,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
15.0,TRT010420K18,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43922.0,1485.0,,40506.0,,,2.804,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
16.0,TRT010420A10,TRT010420T27,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40282.0,43922.0,1485.0,,40506.0,,,140.182,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
17.0,TRT060121T16,,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,2.0,TRY,108.0,40562.0,44202.0,1765.0,7509416.0,40646.0,102.476,3.0,151.078,42564.0,1.5,,11345075.5045,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
18.0,TRT060121T24,TRT060121T16,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,44202.0,1765.0,,40562.0,,,151.078,,,,,Temiz Fiyat/Clean Price,Formül 5/Formula 5,Giriþ/Input,Formül 6/Formula 6,Formül 8/Formula 8,Formül 2/Formula 2,Formül 4/Formula 4,Act/Act ISMA,"Son kupon döneminde getiri hesabýnda Formül 9, bileþik getiri hesabýnda Formül 3 kullanýlmaktadýr. / During the last coupon period Formula 9 is used for the simple yield, and Formula 3 is used for the compound yield calculations."
19.0,TRT130716K17,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,42564.0,127.0,,40562.0,,,2.205,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
20.0,TRT110117K14,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,42746.0,309.0,,40562.0,,,2.176,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
21.0,TRT120717K17,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,42928.0,491.0,,40562.0,,,2.147,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
22.0,TRT100118K14,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,43110.0,673.0,,40562.0,,,2.118,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
23.0,TRT110718K17,TRT060121T24,Hazine / Turkish Treasury,Ýhale / Auction,TÜFE'ye endeksli / Indexed to CPI,Devlet Tahvili / Government Bond,,TRY,108.0,40562.0,43292.0,855.0,,40562.0,,,2.09,,,,,Kirli Fiyat/Dirty Price,-,-,Giriþ/Input,Formül 8/Formula 8,-,-,-,
